ranking,symbol,name,market_cap,volume_24h,volume_7d,volume_30d,price,launch_date,exchanges,min_market_cap,min_volume,volume_period,status
1,BTC,Bitcoin,2253922646181,40368744739,0,0,113236.0,,"binance,mexc,gate",100000000,10000000,24h,active
2,ETH,Ethereum,420422921090,31594451050,0,0,3484.47,,"binance,mexc,gate",100000000,10000000,24h,active
3,XRP,XRP,171225970395,5339187048,0,0,2.89,,"binance,mexc,gate",100000000,10000000,24h,active
4,BNB,BNB,104370105721,1368985840,0,0,749.4,,"binance,mexc,gate",100000000,10000000,24h,active
5,SOL,Solana,87897373385,5341223738,0,0,163.31,,"binance,mexc,gate",100000000,10000000,24h,active
6,STETH,Lido Staked Ether,31180406324,69768785,0,0,3480.16,,"binance,mexc,gate",100000000,10000000,24h,active
7,TRX,TRON,30876889732,1455504797,0,0,0.326075,,"binance,mexc,gate",100000000,10000000,24h,active
8,DOGE,Dogecoin,29671957405,2483384821,0,0,0.197508,,"binance,mexc,gate",100000000,10000000,24h,active
9,ADA,Cardano,25568495137,1186374131,0,0,0.706866,,"binance,mexc,gate",100000000,10000000,24h,active
10,WBTC,Wrapped Bitcoin,14336681412,233487270,0,0,113038.0,,"binance,mexc,gate",100000000,10000000,24h,active
11,WSTETH,Wrapped stETH,13655300580,36264524,0,0,4201.49,,"binance,mexc,gate",100000000,10000000,24h,active
12,HYPE,Hyperliquid,12627429803,377022263,0,0,37.97,,"binance,mexc,gate",100000000,10000000,24h,active
13,SUI,Sui,11968686845,1145452294,0,0,3.41,,"binance,mexc,gate",100000000,10000000,24h,active
14,XLM,Stellar,11705429313,346885634,0,0,0.374601,,"binance,mexc,gate",100000000,10000000,24h,active
15,WBETH,Wrapped Beacon ETH,11096063473,8249591,0,0,3742.97,,"binance,mexc,gate",100000000,10000000,24h,active
16,LINK,Chainlink,10801447965,678674019,0,0,15.93,,"binance,mexc,gate",100000000,10000000,24h,active
17,BCH,Bitcoin Cash,10643175780,258863823,0,0,534.57,,"binance,mexc,gate",100000000,10000000,24h,active
18,HBAR,Hedera,9953308239,450031277,0,0,0.234975,,"binance,mexc,gate",100000000,10000000,24h,active
19,WEETH,Wrapped eETH,9791243613,28615441,0,0,3731.88,,"binance,mexc,gate",100000000,10000000,24h,active
20,AVAX,Avalanche,9037098546,470306623,0,0,21.42,,"binance,mexc,gate",100000000,10000000,24h,active
21,TON,Toncoin,8671278331,535461819,0,0,3.59,,"binance,mexc,gate",100000000,10000000,24h,active
22,LTC,Litecoin,8291256481,832893374,0,0,109.22,,"binance,mexc,gate",100000000,10000000,24h,active
23,WETH,WETH,7887725745,766049521,0,0,3483.67,,"binance,mexc,gate",100000000,10000000,24h,active
24,SHIB,Shiba Inu,7091264596,226613724,0,0,1.204e-05,,"binance,mexc,gate",100000000,10000000,24h,active
25,CBBTC,Coinbase Wrapped BTC,6109912142,451247709,0,0,113245.0,,"binance,mexc,gate",100000000,10000000,24h,active
26,WBT,WhiteBIT Coin,6100312787,51839234,0,0,42.33,,"binance,mexc,gate",100000000,10000000,24h,active
27,XMR,Monero,5418960787,122950931,0,0,293.7,,"binance,mexc,gate",100000000,10000000,24h,active
28,UNI,Uniswap,5415681061,425991161,0,0,9.02,,"binance,mexc,gate",100000000,10000000,24h,active
29,DOT,Polkadot,5389738735,307164358,0,0,3.54,,"binance,mexc,gate",100000000,10000000,24h,active
30,BGB,Bitget Token,4904634072,96601365,0,0,4.3,,"binance,mexc,gate",100000000,10000000,24h,active
31,PEPE,Pepe,4337404696,694594734,0,0,1.032e-05,,"binance,mexc,gate",100000000,10000000,24h,active
32,CRO,Cronos,4211800897,32729141,0,0,0.130271,,"binance,mexc,gate",100000000,10000000,24h,active
33,AAVE,Aave,3867458846,392114491,0,0,254.44,,"binance,mexc,gate",100000000,10000000,24h,active
34,ENA,Ethena,3456780538,1306387635,0,0,0.54438,,"binance,mexc,gate",100000000,10000000,24h,active
35,TAO,Bittensor,3233324293,114192809,0,0,338.18,,"binance,mexc,gate",100000000,10000000,24h,active
36,ETC,Ethereum Classic,3012526435,98337048,0,0,19.73,,"binance,mexc,gate",100000000,10000000,24h,active
37,NEAR,NEAR Protocol,2962114969,214504151,0,0,2.39,,"binance,mexc,gate",100000000,10000000,24h,active
38,APT,Aptos,2790763341,488914305,0,0,4.16,,"binance,mexc,gate",100000000,10000000,24h,active
39,OKB,OKB,2787927450,13183593,0,0,46.46,,"binance,mexc,gate",100000000,10000000,24h,active
40,ONDO,Ondo,2779632485,168993896,0,0,0.879982,,"binance,mexc,gate",100000000,10000000,24h,active
41,PI,Pi Network,2773499077,190495680,0,0,0.35668,,"binance,mexc,gate",100000000,10000000,24h,active
42,ICP,Internet Computer,2681909033,69423004,0,0,5.0,,"binance,mexc,gate",100000000,10000000,24h,active
43,JITOSOL,Jito Staked SOL,2590071699,42124973,0,0,199.52,,"binance,mexc,gate",100000000,10000000,24h,active
44,MNT,Mantle,2325585815,181689111,0,0,0.691069,,"binance,mexc,gate",100000000,10000000,24h,active
45,KAS,Kaspa,2197146954,73454299,0,0,0.083333,,"binance,mexc,gate",100000000,10000000,24h,active
46,PENGU,Pudgy Penguins,2145425567,808095346,0,0,0.03416489,,"binance,mexc,gate",100000000,10000000,24h,active
47,WETH,Binance-Peg WETH,2102773426,73423749,0,0,3476.12,,"binance,mexc,gate",100000000,10000000,24h,active
48,ALGO,Algorand,2010534195,100333681,0,0,0.231112,,"binance,mexc,gate",100000000,10000000,24h,active
49,GT,Gate,1993842177,6860588,0,0,16.69,,"binance,mexc,gate",100000000,10000000,24h,active
50,BONK,Bonk,1986862861,475343000,0,0,2.569e-05,,"binance,mexc,gate",100000000,10000000,24h,active
51,FTN,Fasttoken,1979116608,63679585,0,0,4.59,,"binance,mexc,gate",100000000,10000000,24h,active
52,ARB,Arbitrum,1930559188,271110495,0,0,0.374907,,"binance,mexc,gate",100000000,10000000,24h,active
53,VET,VeChain,1921412490,45027918,0,0,0.02234426,,"binance,mexc,gate",100000000,10000000,24h,active
54,ATOM,Cosmos Hub,1901459962,113277380,0,0,4.12,,"binance,mexc,gate",100000000,10000000,24h,active
55,RENDER,Render,1801849081,87039316,0,0,3.48,,"binance,mexc,gate",100000000,10000000,24h,active
56,POL,POL (ex-MATIC),1771290637,96464611,0,0,0.196271,,"binance,mexc,gate",100000000,10000000,24h,active
57,WLD,Worldcoin,1736077459,160831500,0,0,0.948944,,"binance,mexc,gate",100000000,10000000,24h,active
58,TRUMP,Official Trump,1733085081,349157180,0,0,8.68,,"binance,mexc,gate",100000000,10000000,24h,active
59,IP,Story,1706035088,55953306,0,0,5.8,,"binance,mexc,gate",100000000,10000000,24h,active
60,RETH,Rocket Pool ETH,1638448418,3694014,0,0,3961.87,,"binance,mexc,gate",100000000,10000000,24h,active
61,JLP,Jupiter Perpetuals Liquidity Provider Token,1623702991,42552505,0,0,4.87,,"binance,mexc,gate",100000000,10000000,24h,active
62,FET,Artificial Superintelligence Alliance,1622235434,102442891,0,0,0.623163,,"binance,mexc,gate",100000000,10000000,24h,active
63,SEI,Sei,1596675227,145108729,0,0,0.276647,,"binance,mexc,gate",100000000,10000000,24h,active
64,FIL,Filecoin,1575295184,195172265,0,0,2.3,,"binance,mexc,gate",100000000,10000000,24h,active
65,LBTC,Lombard Staked BTC,1571648550,11271558,0,0,113177.0,,"binance,mexc,gate",100000000,10000000,24h,active
66,QNT,Quant,1571107123,28017544,0,0,108.01,,"binance,mexc,gate",100000000,10000000,24h,active
67,FLR,Flare,1529878099,15525952,0,0,0.02192844,,"binance,mexc,gate",100000000,10000000,24h,active
68,XDC,XDC Network,1509908504,37916434,0,0,0.092989,,"binance,mexc,gate",100000000,10000000,24h,active
69,USDTB,USDtb,1437000793,8997932,0,0,0.999378,,"binance,mexc,gate",100000000,10000000,24h,active
70,SPX,SPX6900,1413528093,75704998,0,0,1.52,,"binance,mexc,gate",100000000,10000000,24h,active
71,JUP,Jupiter,1364549662,58423938,0,0,0.446641,,"binance,mexc,gate",100000000,10000000,24h,active
72,KCS,KuCoin,1338885374,5596156,0,0,10.52,,"binance,mexc,gate",100000000,10000000,24h,active
73,NEXO,NEXO,1283984968,9843635,0,0,1.28,,"binance,mexc,gate",100000000,10000000,24h,active
74,CRV,Curve DAO,1222009755,214962767,0,0,0.885382,,"binance,mexc,gate",100000000,10000000,24h,active
75,INJ,Injective,1208382186,126650794,0,0,12.37,,"binance,mexc,gate",100000000,10000000,24h,active
76,STX,Stacks,1205707570,25883443,0,0,0.673989,,"binance,mexc,gate",100000000,10000000,24h,active
77,TIA,Celestia,1171760011,115127057,0,0,1.6,,"binance,mexc,gate",100000000,10000000,24h,active
78,EZETH,Renzo Restaked ETH,1140422668,5332334,0,0,3674.11,,"binance,mexc,gate",100000000,10000000,24h,active
79,SOLVBTC,Solv Protocol BTC,1129563193,5242183,0,0,113043.0,,"binance,mexc,gate",100000000,10000000,24h,active
80,OP,Optimism,1113201159,201523556,0,0,0.635621,,"binance,mexc,gate",100000000,10000000,24h,active
81,WBNB,Wrapped BNB,1006508668,103488733,0,0,749.25,,"binance,mexc,gate",100000000,10000000,24h,active
82,FLOKI,FLOKI,998723830,128915674,0,0,0.00010368,,"binance,mexc,gate",100000000,10000000,24h,active
83,CFX,Conflux,989542335,150035196,0,0,0.193848,,"binance,mexc,gate",100000000,10000000,24h,active
84,JUPSOL,Jupiter Staked SOL,979452468,5978965,0,0,184.35,,"binance,mexc,gate",100000000,10000000,24h,active
85,PUMP,Pump.fun,962904118,314647106,0,0,0.00272002,,"binance,mexc,gate",100000000,10000000,24h,active
86,S,Sonic,954681131,144025136,0,0,0.296264,,"binance,mexc,gate",100000000,10000000,24h,active
87,PAXG,PAX Gold,952823700,67553886,0,0,3362.21,,"binance,mexc,gate",100000000,10000000,24h,active
88,SAROS,Saros,950416506,9965521,0,0,0.362712,,"binance,mexc,gate",100000000,10000000,24h,active
89,GRT,The Graph,928808369,37312918,0,0,0.089159,,"binance,mexc,gate",100000000,10000000,24h,active
90,FARTCOIN,Fartcoin,926128286,277276995,0,0,0.927026,,"binance,mexc,gate",100000000,10000000,24h,active
91,IMX,Immutable,919905353,27258459,0,0,0.486691,,"binance,mexc,gate",100000000,10000000,24h,active
92,WBTC,Arbitrum Bridged WBTC (Arbitrum One),902285195,166897909,0,0,113000.0,,"binance,mexc,gate",100000000,10000000,24h,active
93,CAKE,PancakeSwap,883238840,92180041,0,0,2.56,,"binance,mexc,gate",100000000,10000000,24h,active
94,WIF,dogwifhat,858312900,290875658,0,0,0.861538,,"binance,mexc,gate",100000000,10000000,24h,active
95,SYRUPUSDC,SyrupUSDC,852856297,6172811,0,0,1.11,,"binance,mexc,gate",100000000,10000000,24h,active
96,MSOL,Marinade Staked SOL,844839281,16899574,0,0,214.52,,"binance,mexc,gate",100000000,10000000,24h,active
97,ENS,Ethereum Name Service,835227863,113318354,0,0,25.19,,"binance,mexc,gate",100000000,10000000,24h,active
98,KAIA,Kaia,829616738,19444750,0,0,0.141896,,"binance,mexc,gate",100000000,10000000,24h,active
99,XAUT,Tether Gold,825347506,142098604,0,0,3347.93,,"binance,mexc,gate",100000000,10000000,24h,active
100,LDO,Lido DAO,798507623,87828593,0,0,0.890313,,"binance,mexc,gate",100000000,10000000,24h,active
101,XTZ,Tezos,781651111,25075697,0,0,0.742769,,"binance,mexc,gate",100000000,10000000,24h,active
102,A,Vaulta,779321573,48500416,0,0,0.493179,,"binance,mexc,gate",100000000,10000000,24h,active
103,VIRTUAL,Virtuals Protocol,776095654,128211049,0,0,1.18,,"binance,mexc,gate",100000000,10000000,24h,active
104,THETA,Theta Network,735436553,33104362,0,0,0.735492,,"binance,mexc,gate",100000000,10000000,24h,active
105,CMETH,Mantle Restaked ETH,734721741,8478711,0,0,3739.3,,"binance,mexc,gate",100000000,10000000,24h,active
106,JASMY,JasmyCoin,700587351,37683178,0,0,0.01446886,,"binance,mexc,gate",100000000,10000000,24h,active
107,IOTA,IOTA,700192925,16421087,0,0,0.178281,,"binance,mexc,gate",100000000,10000000,24h,active
108,RAY,Raydium,686603336,55192664,0,0,2.56,,"binance,mexc,gate",100000000,10000000,24h,active
109,GALA,GALA,672559113,102771717,0,0,0.01479601,,"binance,mexc,gate",100000000,10000000,24h,active
