ranking,symbol,name,market_cap,volume_24h,volume_7d,volume_30d,price,launch_date,exchanges,min_market_cap,min_volume,volume_period,status
1,BTC,Bitcoin,2344179183438.0,28487904684.0,0.0,0.0,117757.0,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
2,ETH,Ethereum,530968230831.0,31709788445.0,0.0,0.0,4404.27,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
3,XRP,XRP,184307379320.0,5136518947.0,0.0,0.0,3.1,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
4,BNB,BNB,115937040571.0,1380859514.0,0.0,0.0,832.47,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
5,SOL,Solana,101237380341.0,5709726013.0,0.0,0.0,187.52,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
6,STETH,Lido Staked Ether,38749993901.0,52634250.0,0.0,0.0,4394.32,,"mexc,gate",100000000.0,10000000.0,24h,active
7,DOGE,Dogecoin,34442731571.0,3193589725.0,0.0,0.0,0.228752,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
8,ADA,Cardano,33226906615.0,3076638815.0,0.0,0.0,0.911827,,"mexc,gate",100000000.0,10000000.0,24h,active
9,TRX,TRON,32865366844.0,1253914168.0,0.0,0.0,0.347149,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
10,WSTETH,Wrapped stETH,16938062880.0,58506763.0,0.0,0.0,5316.44,,mexc,100000000.0,10000000.0,24h,active
11,HYPE,Hyperliquid,15587800563.0,194897745.0,0.0,0.0,46.71,,"mexc,gate",100000000.0,10000000.0,24h,active
12,LINK,Chainlink,14954479929.0,919055684.0,0.0,0.0,22.06,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
13,WBTC,Wrapped Bitcoin,14943156004.0,144917475.0,0.0,0.0,117735.0,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
14,WBETH,Wrapped Beacon ETH,14051439486.0,13878242.0,0.0,0.0,4740.45,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
15,XLM,Stellar,13316910705.0,369307108.0,0.0,0.0,0.425375,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
16,SUI,Sui,13173777925.0,1334894765.0,0.0,0.0,3.75,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
17,WEETH,Wrapped eETH,12238476118.0,22505392.0,0.0,0.0,4721.2,,"mexc,gate",100000000.0,10000000.0,24h,active
18,BCH,Bitcoin Cash,11537404758.0,236989000.0,0.0,0.0,579.32,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
19,HBAR,Hedera,10588140633.0,261937682.0,0.0,0.0,0.24983,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
20,AVAX,Avalanche,10127077709.0,734426386.0,0.0,0.0,23.99,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
21,LTC,Litecoin,9079159221.0,653159540.0,0.0,0.0,119.21,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
22,TON,Toncoin,8838444015.0,179139266.0,0.0,0.0,3.45,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
23,LEO,LEO Token,8695708499.0,3526275.0,0.0,0.0,9.4,,"mexc,gate",100000000.0,10000000.0,24h,active
24,SHIB,Shiba Inu,7641628081.0,194027213.0,0.0,0.0,1.297e-05,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
