"id","symbol","signal_type","strength","price","timeframe","source","message","created_at","indicator_type","indicator_data","indicator_config","volume_24h","price_change_24h","confidence_score","combined_score","processed","processed_at","processed_by","processing_time_ms"
898,"1INCH",buy,strong,0.2534,"15m",binance,RSI 19.98 - buy signal,2025-08-14 12:35:44.420,"[""RSI""]","{""rsi_value"": 19.98, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,324
877,A,buy,strong,0.5109,"15m",binance,RSI 12.95 - buy signal,2025-08-14 12:35:32.030,"[""RSI""]","{""rsi_value"": 12.95, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,323
1184,A,buy,strong,0.4981,"15m",binance,RSI 19.49 - buy signal,2025-08-15 15:24:25.008,"[""RSI""]","{""rsi_value"": 19.49, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,866
464,A,sell,strong,0.5573,"15m",binance,RSI 81.46 - sell signal,2025-08-11 16:44:31.629,"[""RSI""]","{""rsi_value"": 81.46, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,333
1281,A,buy,strong,0.4942,"15m",binance,RSI 16.38 - buy signal,2025-08-15 15:44:14.539,"[""RSI""]","{""rsi_value"": 16.38, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,320
707,A,sell,strong,0.5741,"15m",binance,RSI 80.37 - sell signal,2025-08-13 09:15:44.979,"[""RSI""]","{""rsi_value"": 80.37, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,325
709,A,sell,strong,0.58,"15m",binance,RSI 83.74 - sell signal,2025-08-13 09:37:14.808,"[""RSI""]","{""rsi_value"": 83.74, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,326
335,AAVE,buy,strong,297.62,"15m",binance,RSI 19.86 - buy signal,2025-08-11 11:51:15.228,"[""RSI""]","{""rsi_value"": 19.86, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,318
1399,AAVE,buy,strong,294.41,"15m",binance,RSI 17.01 - buy signal,2025-08-15 16:02:02.031,"[""RSI""]","{""rsi_value"": 17.01, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,324
854,AAVE,buy,strong,308.01,"15m",binance,RSI 14.28 - buy signal,2025-08-14 12:35:18.379,"[""RSI""]","{""rsi_value"": 14.28, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,323
1209,AAVE,buy,strong,297.0,"15m",binance,RSI 19.56 - buy signal,2025-08-15 15:28:41.432,"[""RSI""]","{""rsi_value"": 19.56, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,319
1474,AB,sell,strong,0.008608,"15m",gate,RSI 85.54 - sell signal,2025-08-16 11:01:48.393,"[""RSI""]","{""rsi_value"": 85.54, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""gate""}",,,,,false,,,1115
1100,AB,buy,strong,0.008033,"15m",gate,RSI 10.83 - buy signal,2025-08-14 16:48:21.408,"[""RSI""]","{""rsi_value"": 10.83, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""gate""}",,,,,false,,,1088
1472,AB,sell,strong,0.008515,"15m",gate,RSI 82.93 - sell signal,2025-08-16 10:43:18.162,"[""RSI""]","{""rsi_value"": 82.93, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""gate""}",,,,,false,,,1194
179,ACH,buy,strong,0.02237,"15m",binance,RSI 18.21 - buy signal,2025-08-11 11:19:09.053,"[""RSI""]","{""rsi_value"": 18.21, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,320
942,ACH,buy,strong,0.02155,"15m",binance,RSI 19.84 - buy signal,2025-08-14 12:36:16.902,"[""RSI""]","{""rsi_value"": 19.84, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,325
72,ACH,sell,strong,0.02358,"15m",binance,RSI 80.50 - sell signal,2025-08-10 20:51:56.815,"[""RSI""]","{""rsi_value"": 80.5, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,323
947,ACX,buy,strong,0.1807,"15m",binance,RSI 19.73 - buy signal,2025-08-14 12:36:21.310,"[""RSI""]","{""rsi_value"": 19.73, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,322
362,ACX,buy,strong,0.1745,"15m",binance,RSI 15.47 - buy signal,2025-08-11 11:52:17.646,"[""RSI""]","{""rsi_value"": 15.47, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,318
1339,ACX,buy,strong,0.1711,"15m",binance,RSI 17.73 - buy signal,2025-08-15 15:45:18.296,"[""RSI""]","{""rsi_value"": 17.73, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,318
272,ACX,buy,strong,0.1766,"15m",binance,RSI 18.88 - buy signal,2025-08-11 11:31:36.790,"[""RSI""]","{""rsi_value"": 18.88, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,322
797,ADA,sell,strong,0.9939,"15m",binance,RSI 83.33 - sell signal,2025-08-14 04:21:47.714,"[""RSI""]","{""rsi_value"": 83.33, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,322
770,ADA,sell,strong,0.9165,"15m",binance,RSI 80.70 - sell signal,2025-08-13 23:06:23.796,"[""RSI""]","{""rsi_value"": 80.7, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,324
585,ADA,sell,strong,0.8305,"15m",binance,RSI 80.95 - sell signal,2025-08-12 17:12:08.631,"[""RSI""]","{""rsi_value"": 80.95, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,337
984,AERO,buy,strong,1.2479,"15m",gate,RSI 19.31 - buy signal,2025-08-14 12:37:07.851,"[""RSI""]","{""rsi_value"": 19.31, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""gate""}",,,,,false,,,1080
549,AERO,sell,strong,1.2427,"15m",gate,RSI 80.45 - sell signal,2025-08-12 15:54:53.241,"[""RSI""]","{""rsi_value"": 80.45, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""gate""}",,,,,false,,,1158
367,AEVO,buy,strong,0.0982,"15m",binance,RSI 15.94 - buy signal,2025-08-11 11:52:22.530,"[""RSI""]","{""rsi_value"": 15.94, ""rsi_window"": 14, ""oversold_level"": 20.0, ""overbought_level"": 80.0}","{""rsi_window"": 14, ""timeframe"": ""15m"", ""exchange"": ""binance""}",,,,,false,,,325
